com,com_name,nombre_pistes_cyclables
14181,Cormelles-le-Royal,76
94002,Alfortville,76
31291,Léguevin,76
72065,Chapelle-Saint-Aubin,76
33032,Bassens,76
13211,Marseille 11e Arrondissement,76
18279,Vierzon,76
44201,Sucé-sur-Erdre,76
83090,Ollioules,76
77307,Montévrain,75
68256,Pfastatt,75
67309,Mundolsheim,75
68166,Kingersheim,75
62826,Touquet-Paris-Plage,75
34337,Villeneuve-lès-Maguelone,75
29042,Crozon,75
21355,Longvic,75
62014,Aire-sur-la-Lys,75
38474,Sassenage,75
66017,Barcarès,75
31113,Castanet-Tolosan,75
38150,Domène,75
59456,Pecquencourt,74
51230,Épernay,74
91363,Marcoussis,74
91549,Sainte-Geneviève-des-Bois,74
91691,Yerres,74
62643,Outreau,74
86297,Vouneuil-sous-Biard,74
59253,Fresnes-sur-Escaut,74
68056,Brunstatt-Didenheim,74
91201,Draveil,74
60382,Margny-lès-Compiègne,74
64483,Saint-Jean-de-Luz,74
78123,Carrières-sous-Poissy,74
85288,Talmont-Saint-Hilaire,74
44103,Montoir-de-Bretagne,73
54115,Champigneulles,73
94065,Rungis,73
68287,Rouffach,73
13204,Marseille 4e Arrondissement,73
93007,Blanc-Mesnil,73
61006,Argentan,73
78571,Saint-Nom-la-Bretèche,73
73064,Challes-les-Eaux,73
80001,Abbeville,73
59648,Wattignies,73
72386,Yvré-l'Évêque,73
18197,Saint-Amand-Montrond,73
91340,Lisses,73
35334,Thorigné-Fouillard,73
09225,Pamiers,72
10362,Sainte-Savine,72
62108,Berck,72
37018,Ballan-Miré,72
44043,Clisson,72
54498,Seichamps,72
13214,Marseille 14e Arrondissement,72
56078,Guidel,72
68352,Volgelsheim,72
54339,Malzéville,72
29189,Plougastel-Daoulas,72
37156,Montlouis-sur-Loire,71
84003,Apt,71
78686,Viroflay,71
62126,Beuvry,71
71118,Châtenoy-le-Royal,71
37195,Riche,71
47201,Passage,71
56005,Arzon,71
40287,Sanguinet,71
51030,Aÿ-Champagne,70
78624,Triel-sur-Seine,70
33527,Teich,70
31187,Fonsorbes,70
77114,Chevry-Cossigny,70
33090,Canéjan,70
31182,Fenouillet,70
85155,Mouilleron-le-Captif,70
40296,Seignosse,70
44010,Batz-sur-Mer,70
59051,Bassée,70
59220,Faches-Thumesnil,70
71105,Charnay-lès-Mâcon,69
59153,Condé-sur-l'Escaut,69
60157,Clermont,69
76341,Harfleur,69
34344,Grande-Motte,69
68063,Cernay,69
91347,Longpont-sur-Orge,69
67137,Fegersheim,69
65286,Lourdes,69
38544,Vienne,69
69143,Neuville-sur-Saône,69
78073,Bois-d'Arcy,68
63178,Issoire,68
45068,Châlette-sur-Loing,68
34077,Clapiers,68
84141,Vedène,68
78688,Voisins-le-Bretonneux,68
17421,Saujon,68
10333,Saint-André-les-Vergers,68
50147,Coutances,68
77407,Saint-Fargeau-Ponthierry,68
59410,Mons-en-Barœul,67
68082,Ensisheim,67
94074,Valenton,67
92078,Villeneuve-la-Garenne,67
59386,Marquette-lez-Lille,67
78586,Sartrouville,67
17219,Marennes-Hiers-Brouage,67
03321,Yzeure,67
56214,Saint-Gildas-de-Rhuys,67
41269,Vendôme,67
33065,Bouliac,66
95197,Deuil-la-Barre,66
50267,Lessay,66
77067,Cesson,66
45155,Gien,66
62215,Carvin,66
74213,Poisy,66
39362,Montmorot,66
62528,Loos-en-Gohelle,66
78356,Magny-les-Hameaux,66
78322,Jouy-en-Josas,66
78311,Houilles,66
78383,Maurepas,66
01160,Ferney-Voltaire,66
54257,Heillecourt,65
14101,Bretteville-sur-Odon,65
71475,Saint-Rémy,65
17140,Dolus-d'Oléron,65
93010,Bondy,65
31116,Castelginest,65
83144,Valette-du-Var,65
32013,Auch,65
41295,Vineuil,65
59491,Raismes,65
57666,Terville,64
63193,Lempdes,64
85128,Luçon,64
38397,Saint-Ismier,64
69040,Champagne-au-Mont-d'Or,64
77333,Nemours,64
49023,Beaupréau-en-Mauges,64
14383,Louvigny,64
33273,Martignas-sur-Jalle,64
59482,Quesnoy-sur-Deûle,64
72095,Coulaines,64
95637,Vauréal,64
91223,Étampes,64
13041,Gardanne,64
59352,Linselles,64
78124,Carrières-sur-Seine,64
67256,Lampertheim,64
14228,Douvres-la-Délivrande,64
26004,Alixan,64
78481,Pecq,64
59317,Houplines,63
33284,Mios,63
22251,Pordic,63
67281,Marckolsheim,63
86214,Saint-Benoît,63
02408,Laon,63
21278,Fontaine-lès-Dijon,63
68112,Guebwiller,63
2A004,Ajaccio,63
40209,Ondres,62
76681,Sotteville-lès-Rouen,62
40328,Vieux-Boucau-les-Bains,62
38314,Pontcharra,62
62525,Longuenesse,62
44169,Saint-Julien-de-Concelles,62
94077,Villeneuve-le-Roi,62
59421,Mouvaux,62
33122,Cestas,62
69043,Chaponost,62
13215,Marseille 15e Arrondissement,62
45298,Saint-Pryvé-Saint-Mesmin,62
92044,Levallois-Perret,62
54274,Jarville-la-Malgrange,62
31499,Saint-Lys,62
73051,Bourget-du-Lac,61
60346,Lamorlaye,61
93050,Neuilly-sur-Marne,61
49301,Sèvremoine,61
49018,Baugé-en-Anjou,61
71014,Autun,61
31389,Montrabé,61
34198,Pérols,61
27679,Verneuil d'Avre et d'Iton,61
64132,Bizanos,61
14191,Courseulles-sur-Mer,61
33555,Marcheprime,61
44005,Chaumes-en-Retz,61
84132,Thor,60
59034,Avelin,60
95252,Franconville,60
91086,Bondoufle,60
76305,Gonfreville-l'Orcher,60
33019,Audenge,60
93014,Clichy-sous-Bois,60
62758,Saint-Martin-Boulogne,60
28229,Mainvilliers,60
59329,Lambres-lez-Douai,60
31467,Saint-Alban,60
56165,Ploërmel,60
56206,Saint-Avé,60
10325,Rosières-près-Troyes,60
26313,Saint-Marcel-lès-Valence,60
59654,Waziers,60
59173,Deûlémont,60
69288,Saint-Laurent-de-Mure,60
51649,Vitry-le-François,60
29151,Morlaix,59
42127,Mably,59
63069,Cendre,59
31282,Launaguet,59
44012,Bernerie-en-Retz,59
54431,Pont-à-Mousson,59
64284,Jurançon,59
62318,Étaples,59
13206,Marseille 6e Arrondissement,58
31022,Aucamville,58
78117,Buc,58
35095,Dol-de-Bretagne,58
67389,Reichstett,58
35353,Vezin-le-Coquet,58
34299,Sérignan,58
85152,Achards,58
73328,Viviers-du-Lac,58
77479,Vaires-sur-Marne,58
17369,Saint-Martin-de-Ré,58
29254,Saint-Martin-des-Champs,58
35093,Dinard,58
69027,Brignais,58
93045,Lilas,58
55029,Bar-le-Duc,58
34192,Palavas-les-Flots,57
94019,Chennevières-sur-Marne,57
05023,Briançon,57
30032,Beaucaire,57
05110,Puy-Saint-Vincent,57
62744,Sainte-Catherine,57
67151,Gambsheim,57
08409,Sedan,57
68162,Kaysersberg Vignoble,57
38423,Saint-Martin-le-Vinoux,57
73222,Saint-Alban-Leysse,57
49035,Bouchemaine,57
69092,Gleizé,57
22093,Lamballe-Armor,57
48095,Mende,57
63164,Gerzat,57
45272,Saint-Cyr-en-Val,57
67551,Wolfisheim,57
54439,Pulnoy,56
26037,Beaumont-lès-Valence,56
85163,Noirmoutier-en-l'Île,56
45075,Chapelle-Saint-Mesmin,56
63063,Cébazat,56
33238,Léognan,56
